id,Title,Ingredients,Steps,Loves,URL,Total Porsi,Waktu Memasak,Category,Title Cleaned,Total Ingredients,Ingredients Cleaned,Total Steps,Total Porsi (Floor),Waktu Memasak (Floor)
91,Steak ayam panir keju,"1 buah dada ayam filet. Iris menjadi 2 bagian--secukupnya Tepung terigu--1 butir telur. Kocok lepas--2 sdm cabe bubuk--secukupnya Tepung panir--100 gr keju parut (blh di skip)--Bahan marinate:--secukupnya Susu cair--secukupnya Garam--secukupnya Merica--4 siung bawang putih, haluskan--","1) Marinate dada ayam dgn bumbu marinate kira2 30 menit
2) Udelin ayam dgn tepung terigu, masukkan ke dlm kocokan telur, lalu udelin ke campuran tepung panir
3) Oh ya, tepung panirnya di campur dgn parutan keju & cabe bubuk ya
4) Goreng dgn api sedang supaya warnanya tdk terlalu hitam seperti buatan saya he he.",6,https://cookpad.com/id/resep/3403864-steak-ayam-panir-keju,6,37,ayam,steak ayam panir keju,11,"dada ayam filet , tepung terigu , telur kocok lepas , cabe bubuk , tepung panir , keju parut blh , marinate , susu cair , garam , merica , bawang putih , haluskan",4,6,37
92,Grilled chicken breast,"1/2 potong dada ayam fillet--Secukupnya bawang bombay iris memanjang--Secukupnya paprika merah iris memanjang--1 siung bwg putih cincang--Secukupnya keju melted--1/2 sdt garam,--Secukupnya lada--Minyak sayur / olive--Hiasan:--1 lbr selada--5 bh tomat kecil--","1) Belah2 dada ayam (tp jgn samlai putus)
2) Beri garam, merica, saya tmbh bubuk paprika, dan bawang putih cincang diamkan 15mnt
3) Selipkan bawang bombay, paprika dan keju di tiap belahan
4) Panaskan oven 200 derajat, beri minyak pada alas dan potongan ayam, panggang slama 20 menit
5) Hias piring dg selada dan tomat, bs tmbh kentang jika mau..lalu letakan dada ayam di tengah..
6) Grilled chicken siap disajikan",6,https://cookpad.com/id/resep/4467537-grilled-chicken-breast,5,40,ayam,grilled chicken breast,11,"potong dada ayam fillet , bawang bombai memanjang , paprika merah memanjang , bawang putih cincang , keju melted , garam , lada , minyak sayur olive , hiasan , selada , tomat",6,5,40
93,Sambal ayam penyet,Ayam goreng (resep ungkepnya ada di resep ku yg lain ya)--Daun singkong (klop banget sm lalapan rebusan daun singkong loh)--15-20 Cabe orens--1-2 bawang putih--Minyak panas--Royco (rasa sapi)--Garam--Gula pasir (yg ga pengen terlalu pedas boleh pake gula dikit)--,"1) Cuci bersih cabe dan bawang putih,ulek kasar di cobek
2) Panaskan minyak lalu tuang ke cobek ya
3) Bumbuin garam sedikit,royco sapi dan gula (optional)
4) Ulek lg sambil di aduk2.tes rasa
5) Kalo udah pas,bejek2 ayam goreng nya di atas sambal
6) Sajikan dg nasi panas bertabur bawang goreng.lalapannya rebusan daun singkong,di jamin keringetan dan nasi nya harus banyak ya karena pasti nambah2 trs hehehe",2,https://cookpad.com/id/resep/4467685-sambal-ayam-penyet,7,40,ayam,sambal ayam penyet,8,"ayam goreng resep ungkepnya resep , daun singkong klop banget sm lalapan rebusan daun singkong loh , cabe orens , bawang putih , minyak panas , royco sapi , garam , gula pasir ga pengen pedas pake gula dikit",6,7,40
94,Ayam Geprek,Ayam 1/2 kg potong menjadi 6--Bumbu ayam ungkep (haluskan) :--3 siung bawang putih--1 sdt ketumbar--Kunyit sedikit (optional)--1 sdt asam jawa--secukupnya Garam--jika suka Penyedap--1 lembar daun jeruk purut--Segelas air--Sambal geprek:--30 buah cabe rawit--5 buah cabe keriting(kalau ada)--2 siung bawang putih--5 siung bawang merah--secukupnya Garam--Sedikit minyak--,"1) Cuci bersih ayam, lalu ungkep bersama bumbu ayam yang telah dihaluskan, beri segelas air, kemudian tutup panci dan biarkan sampai air menyusut. Setelah menyusut, matikan kompor
2) Sementara itu, panaskan sedikit minyak dan tumis bawang putih dan bawang merah setengah matang, matikan kompor dan masukkan cabe kedalam wajan. Biarkan sebentar bawang dan cabe dalam minyak panas
3) Kira2 cabe sudah agak layu, tiriskan bawang dan cabe. Panas2 langsung ulek diatas cobek, beri sedikit garam, gula dan penyedap jika suka
4) Goreng ayam hingga kecoklatan, dan panas2 langsung tiriskan, taruh dicobek dan langsung geprek/penyet.
5) Sajikan bersama nasi panas.",0,https://cookpad.com/id/resep/4467211-ayam-geprek,6,45,ayam,ayam geprek,17,"ayam potong , bumbu ayam ungkep haluskan , bawang putih , ketumbar , kunyit , asam jawa , garam , suka penyedap , daun jeruk , segelas air , sambal geprek , cabe rawit , cabe keriting , bawang putih , bawang merah , garam , minyak",5,6,45
95,Chicken Pop Bumbu Sambel Bawang Tumis,1/4 kg Dada Ayam--Jeruk nipis--1 1/2 bks Tepung serbaguna--Bahan Sambel :--15 Siung bawang merah--1 Siung bawang putih--3 biji cabe rawit (sesuai selera)--1 biji cabe keriting--2 buah tomat--Lain-lain :--Minyak goreng--Garam--Mecin--Gula--Terasi--,"1) Potong-potong dadu ayam, kemudian cuci bersih. Setelah itu, rendam ayam dengan air perasan jeruk nipis, lalu diamkan selama 15 menit.
2) Sambil menunggu, siapkan bumbu sambelnya. Iris-iris semua bahan dan sisihkan.
3) Setelah bumbu siap, siapkan tepung basah (jangan terlalu encer) dan tepung kering di dalam wadah yang berbeda.
4) Cuci bersih kembali ayam yang tadi direndam. Kemudian, masukkan ke dalam tepung basah. Setelah itu, pindahkan ke tepung kering dan lumurin ayam hingga merata.
5) Panaskan minyak goreng hingga benar-benar panas. Lalu goreng ayam hingga berwarna keemasan. Lalu, sisihkan.
6) Setelah itu, panaskan minyak lagi dan tumis semua bumbu sambal hingga matang. Tambahkan garam, mecin, gula dan terasi secukupnya. Tes rasa.
7) Kecilkan api, lalu masukkan semua ayam, lalu aduk hingga rata. Sajikan, sangat pas dimakan dengan nasi hangat.",6,https://cookpad.com/id/resep/4467232-chicken-pop-bumbu-sambel-bawang-tumis,4,49,ayam,chicken pop bumbu sambel bawang tumis,15,"dada ayam , jeruk nipis , tepung , sambel , bawang merah , bawang putih , biji cabe rawit , biji cabe keriting , tomat , minyak goreng , garam , mecin , gula , terasi",7,4,49
96,Ayam Ukep Bumbu Bebek,"1 kg ayam segar bersih--3 siung bawang merah (a)--7 siung bawang putih (a)--1/2 sdm ketumbar (a)--1 ruas kunir (1 cm) (a)--1/2 cm jahe hanya supaya ayam tdk amis (a)--2 btg sereh (digeprek)--5 lbr daun jeruk--Lengkuas diparut,jmlh sesuai selera(saya skip krn gaada parutan)--Garam--","1) Haluskan/blender semua bahan (a). Masukkan ayam ke dalam panci bersama bumbu (a), parutan laos, sereh, daun jeruk, garam (sesuai selera, kalo saya suka yg asin ntar bumbunya bisa digoreng juga). Jgn lupa kasih air kira-kira 2 gelas supaya tdk kebanyakan air.
2) Rebus dgn api sedang sampai ayam matang jgn lupa diaduk. Rebus sampai air agak menyusut dan kuah kental dgn bumbu.
3) Goreng ayam & sajikan  (bumbu, sereh & daun jeruknya jg saya goreng jg sampai crispy kress kress dimakan pake nasi anget enak )",6,https://cookpad.com/id/resep/4467380-ayam-ukep-bumbu-bebek,9,41,ayam,ayam ukep bumbu bebek,10,"ayam segar , bawang merah , bawang putih , ketumbar , kunir , jahe ayam tdk amis , serai digeprek , daun jeruk , lengkuas , jmlh krn gaada parutan , garam",3,9,41
97,Soto ayam special,1/2 kg ayam kampung--1/4 kg jeroan ayam--1/2 kg kentang--5 telur ayam--1/4 kg bwg merah buat taburan--1/4 kg bwg putih buat taburan--1/4 kg toge kecil--Seledri--Jeruk nipis--Bumbu :--1/4 kg bwg merah--1/4 kg bwg putih--Lengkuas--Kunyit--Kemiri--Jahe--Serai--Daun jeruk--,"1) Bwg merah putih,kunyit,lengkuas,kemiri,jahe halus kan
2) Tumis bersamaan dg serai dan daun jeruk sampai harum
3) Rebus ayam,masukan bumbu yg uda ditumis sampai mendidih
4) Angkat ayam.goreng bersamaan dg jeroan ayam
5) Siap disajikan",3,https://cookpad.com/id/resep/4467262-soto-ayam-special,10,44,ayam,soto ayam special,18,"ayam kampung , jeroan ayam , kentang , telur ayam , bawang merah taburan , bawang putih taburan , toge , seledri , jeruk nipis , bumbu , bawang merah , bawang putih , lengkuas , kunyit , kemiri , jahe , serai , daun jeruk",5,10,44
98,Ayam Goreng Tepung,"5 potong paha ayam--4 siung bawang putih, dihaluskan--secukupnya Garam--secukupnya Lada--Kaldu bubuk (optional, klo bisa yg non msg ya soalnya buat anak)--1 btr telur--Bahan pelapis :--4 sdm Tepung terigu--2 sdm tepung maizena--Garam secukupnya (diresep aslinya gak pake garam)--","1) Cuci bersih ayam lalu tusuk2 dgn garpu dagingnya (supaya bumbu meresap dan ketika digoreng bagian dalamnya jg matang) dan lumuri dengan bawang putih halus, garam, lada, kaldu bubuk campur rata
2) Masukan kedalam lemari es selama bbrp jam (semakin lama semakin meresap bumbunya)
3) Ketika ingin digoreng beri telur dan campur rata
4) Lalu masukan kedalam wadah tepung terigu dan maizena yg sdh dicampur jd satu, tekan2 dan agak dicubit2 tepungnya supaya permukaannya keriting/kriuk
5) Goreng dgn api kecil dan minyak yg agak banyak sampai ayam tenggelam supaya ayam matangnya merata
6) Selamat mencoba...",3,https://cookpad.com/id/resep/4467235-ayam-goreng-tepung,7,40,ayam,ayam goreng tepung,10,"potong paha ayam , bawang putih , dihaluskan , garam , lada , kaldu bubuk , klo non msg anak , telur , tepung terigu , tepung maizena , garam diresep aslinya pake garam",6,7,40
99,Soto ayam,350 gr ayam--Bumbu :--5 bawang merah--3 bawang putih--Kunyit seruas jari--seruas Lengkuas--seruas Jahe--Gula--Garam--Kaldu ayam--Lada--sedikit Ketumbar--1 Sereh geprek--2 daun salam--Isian :--Kol iris tipis--iris Daun sop--Tauge--Bawang goreng--,"1) Goreng ayam yang dimarinasi dengan lada dan garam
2) Blender bumbu. Kemudian di tumis dengan ditambah sereh dan daun salam
3) Masukkan bumbu yang sudah ditumis ke air. Masak hingga mendidih. Beri gula, garam, kaldu. Cek rasa
4) Taruh isian dimangkuk, siram dengan kuah panas. Ayam yang sudah digoreng disuwir ya mom.
5) Tambahkan bawang goreng, sambal dan perasan jeruk (opsional).
6) Soto ayam segar siap dinikmati bersama keluarga tercinta",5,https://cookpad.com/id/resep/4467231-soto-ayam,6,43,ayam,soto ayam,19,"ayam , bumbu , bawang merah , bawang putih , kunyit , lengkuas , jahe , gula , garam , kaldu ayam , lada , ketumbar , serai geprek , daun salam , isian , kol tipis , daun sop , tauge , bawang goreng",6,6,43
100,Nugget ayam simpel,500 gr ayam giling--6 buah bawang merah--4 bawang putih--2 sdm tepung kanji--3 sdm tepung oatmeal--2 telur ayam--Brokoli--Wortel--Garam--Kaldu jamur--Bahan celup--2 telur--Tepung roti--,"1) Ulek bawang sampai halus. Sayuran di parut (secukupnya)
2) Campur ke dalam ayam giling. Campurkan semua bahan aduk sampai rata
3) Siapkan wadah untuk mencetak adonan. Masukan kedalam kukusan. Tunggu sampai matang (kurleb 30menit)
4) Jika sudah matang. Potong sesuai selera. Celupkan kedalam bahan celup.
5) Masukan kedalam kulkas.tunggu minimal 30menit
6) Baru goreng nugget sesuka hati",6,https://cookpad.com/id/resep/4467443-nugget-ayam-simpel,6,44,ayam,nugget ayam simpel,13,"ayam giling , bawang merah , bawang putih , tepung kanji , tepung oatmeal , telur ayam , brokoli , wortel , garam , kaldu jamur , celup , telur , tepung roti",6,6,44
101,Ayam Goreng ala Kentucky,1 ekor ayam negeri (potong 8)--300 gr tepung terigu (segitiga biru)--100 gr tepung maizena--4 siung bawang putih halus (bisa juga garlic powder)--1 sdt Baking powder--Garam--Lada putih bubuk--Lada hitam dihaluskan--Ketumbar bubuk--Kaldu bubuk--Cabe bubuk--1 butir telur ayam--1 sachet dancow putih--1 sdm cuka dapur/jeruk nipis/lemon--150 ml air hangat--,"1) Marinasi Ayam dengan 1sdm garam, 1sdm lada putih, lada hitam, 1sdt kaldu bubuk, bawang putih, 1sdm ketumbar bubuk dan 1sdm cabe bubuk.
2) Buttermilk untuk rendaman ayam: campur susu dancow dengan 250ml air hangat lalu masukan cuka dapur dan aduk hingga terbentuk gumpalan2 kecil dari susu
3) Masukkan telur kedalam cairan buttermilk lalu kocok dan tambahkan baking powder
4) Masukkan campuran buttermilk dan telur kedalam ayam dan ratakan
5) Diamkan selama minimal 12 jam di dalam kulkas, makin lama marinasi maka bumbu semakin meresap dan juicy
6) Setelah 12 jam keluarkan dari kulkas
7) Campurkan terigu dan maizena dalam wadah
8) Tambahkan garam, kaldu bubuk, lada putih, ketumbar bubuk, cabe bubuk (masing2 1sdt)
9) Aduk tepung dan bahan bubuk hingga rata
10) Masukkan ayam kedalam tepung, lalu balur sampai permukaan ayam tertutup tepung
11) Tips jangan menekan dgn kuat atau pijat daging ayam ketika penepungan karena hasilnya akan bantet
12) Masukkan kembali ayam ke rendaman buttermilk, kemudian pindahkan ke tepung lagi
13) Bolak balikkan ayam di tepung hingga tepung menempel dengan sempurna
14) Masukkan ayam kedalam minyak yang sudah benar2 panas dan banyak hingga semua bagian ayam terendam
15) Goreng dengan api kecil selama 12-14menit dipastikan daging matang sampai kedalam
16) Setelah berwarna coklat keemasan angkat lalu tiriskan",6,https://cookpad.com/id/resep/4467218-ayam-goreng-ala-kentucky,4,28,ayam,ayam goreng ala kentucky,15,"ayam negeri potong , tepung terigu segitiga biru , tepung maizena , bawang putih halus bawang putih powder , baking powder , garam , lada , lada hitam dihaluskan , biji ketumbar , kaldu bubuk , cabe bubuk , telur ayam , dancow putih , cuka dapur jeruk nipis lemon , air hangat",16,4,28
102,Opor ayam kuah Susu... 🐥🐓🍶,"1/2 ekor ayam--6 siung bwg merah--5 siung bawang putih--2 buah cabe merah--10 buah cabe rawit merah utuh--2 buah kemiri--1/2 ruas kunyit--1 ruas jahe--2 lembar daun salam--Ketumbar bubuk--1/4 sdt Jintan--secukupnya Lada bubuk--Garam, gula Pasir,kaldu bubuk rasa ayam secukupnya.--500 ml Susu Cair (saya pakai ultra low fat)--Secukupnya air mateng--","1) Haluskan bwg merah, bwg putih,kemiri,jintan,kunyit,jahe,cabe merah, Ketumbar (utuh),Atau bisa gunakan yg bubuk.. Sisihkan
2) Cuci bersih ayam.. Lumuri jeruk nipis diamkan sekitar 20 menit kemudian bilas
3) Rebus ayam sampai aga empuk.. Buang airnya..
4) Tumis Bumbu halus masukkan daun salam,tumis sampai wangi dan matang tambahkan air.. Aduk rata masukkan ayam.. Tambahkan gula, Garam, Lada bubuk..masak sampai air aga asat..masukkan cabe rawit merah utuh..lalu Tambahkan Susu Cair.. Masukkan kaldu bubuk.. Koreksi rasa.. Masak dgn api kecil sampai keluar minyak ayam nya.. Tambahkan sedikit susu cair lgi.. Masak hingga Kental..
5) Setelah matang.. Angkat dan sajikan dgn taburan bawang goreng.. Selamat mencoba",7,https://cookpad.com/id/resep/4467226-opor-ayam-kuah-susu-%F0%9F%90%A5%F0%9F%90%93%F0%9F%8D%B6,7,46,ayam,opor ayam kuah susu,15,"ayam , bawang merah , bawang putih , cabe merah , cabe rawit merah utuh , kemiri , kunyit , jahe , daun salam , biji ketumbar , jinten , lada , garam , gula pasir , kaldu bubuk ayam , susu cair ultra low fat , air mateng",5,7,46
103,Ayam Krispy Sambal Matah,"Bahan ayam Krispy:--2 buah paha atas ayam--1 sachet tepung bumbu merek apa saja ukuran sedang--1 butir telur ayam--1 buah jeruk nipis--secukupnya Garam, merica, penyedap--Bahan sambal matah :--10 buah bawang merah--2 buah cabe rawit (atau sesuai selera)--1/2 sdt terasi--2 sdm minyak goreng--1 buah jeruk nipis--secukupnya Garam, gula, penyedap--","1) Iris sebanyak 2 irisan pada bagian daging paha atas ayam (agar bagian dalam ayam cepat matang), kemudian taburkan garam, merica, penyedap secukupnya, peraskan jeruk sambil aduk2, diamkan sebentar..
2) Sambil menunggu kupas dan potong2 bawang merah, cabe rawit, kemudian masukkan ke mangkok kecil, lalu tabur sejumput kecil garam, gula, penyedap pada potongan bawang merah
3) Panaskan minyak,masukkan terasi, sambil aduk2 sampe minyak terasa sudah panas, kemudian tuang keatas potongan bawang, lalu segera diaduk2. Peraskan jeruk nipis. Sambal matah sudah jadi, sisihkan..
4) Siapkan telur dan tepung bumbu di wadah yang berbeda. Panaskan minyak untuk mengoreng di wajan.
5) Ambil ayam, celupkan ke telur sampai merata, lalu pindah celupkan di tepung sampai merata, lalu ulang sekali lagi celup ke telur dn tepung, kemudian masukkan ke penggorengan.
6) Goreng dengan api kecil, jangan tll besar, agar di dalam matang terlebih dlu. Waktu memasak ayam krispy kurang lebih 20-30menit dg api kecil agar matang sampai kedalam.
7) Setelah matang, angkat, siapkan di piring lalu taburkan sambal matah. Bon apetite!",5,https://cookpad.com/id/resep/4466938-ayam-krispy-sambal-matah,2,60,ayam,ayam krispy sambal matah,13,"ayam krispy , paha atas ayam , tepung bumbu merek , telur ayam , jeruk nipis , garam , merica , penyedap , sambal matah , bawang merah , cabe rawit , terasi , minyak goreng , jeruk nipis , garam , gula , penyedap",7,2,60
104,Ayam Suwir Sambal Matah,"1/2 ekor ayam--5 bawang merah--8 buah cabai merah--3 cabai rawit--1/2 bungkus terasi ABC: dibakar lalu haluskan--1 lbr daun jeruk--1 btg serai--1/2 bh jeruk limau--Secukupnya garam, gula, penyedap rasa (opsional)--Secukupnya minyak untuk menumis--","1) Bersihkan ayam dan lumuri dg air jeruk nipis. Kukus ayam hingga empuk. Dinginkan dan suwir-suwir.
2) Ulek kasar : bawang merah,cabai merah dan cabai rawit. Tambahkan terasi.
3) Tumis bahan yg sudah dihaluskan dengan daun jeruk dan serai. Tambahkan ayam suwir. Bumbui dg garam, gula dan penyedap sesuai selera. Kucuri dg perasaan jeruk nipis. Tuang sedikit air.
4) Masak hingga bumbu meresap.",6,https://cookpad.com/id/resep/4466566-ayam-suwir-sambal-matah,7,36,ayam,ayam suwir sambal matah,10,"ayam , bawang merah , cabai merah , cabai rawit , terasi abc dibakar haluskan , daun jeruk , serai , jeruk limau , garam , gula , penyedap , minyak menumis",4,7,36
105,Ayam brokoli saus teriyaki,"1/2 kg dada ayam--1 ons Brokoli--1/2 bawang bombay--2 siung bwg putih--2 siung bwg merah--2 cabe besar merah--2 cabe rawit ijo, (harusnya pake cabe rawit pedas tapi gk ada)--Saos Teriyaki bungkus kecil saori--1 sendok saos tiram--1 sdt royco--1/2 sdt gula--1/2 sdt garam--","1) Dada ayam dicuci bersih kemudian di rendam jeruk nipis 15 menit,
2) Setelah itu dada ayam di potong dadu sesuai selera.
3) Brokoli di potong"" kemudian cuci bersih, rendam dulu dengan air garam sebentar kemudian bilas.
4) Dada ayam direbus dulu sebentar biar gak keras, setelah direbus dimarinate dulu pakai 2 sdm saos teriyaki selama 30 menit.
5) Potong potong bwg bombay, bwg merah, bwg putih dan cabe.
6) Kemudian ditumis sampai harum,
7) Masukkan ayam yg sudah dimarinate 30 menit dikulkas, kemudian masukan brokoli juga
8) Tambahakan gula garam royco saori Teriyaki 1 sdm, saori saos tiram 1 sdm. Dan air secukupnya sesuai selera.
9) Diaduk kemudian tes rasa, untuk air sesuai selera aja ya.
10) Setelah matang angkat dan sajikan.
11) Selamat makan dan selamat mencoba",2,https://cookpad.com/id/resep/4466907-ayam-brokoli-saus-teriyaki,3,33,ayam,ayam brokoli saus teriyaki,12,"dada ayam , brokoli , bawang bombai , bawang putih , bawang merah , cabe merah , cabe rawit ijo , pake cabe rawit pedas gk , saos teriyaki saori , saos tiram , royco , gula , garam",11,3,33
106,Ayam KFC ala NR,500 gr tepung roti--250 gr tepung bumbu sajiku--2 butir telur--1 ekor ayam--100 ml air es--1 sdt garam--1 sdt lada--1 ltr myk grg--,"1) Potong ayam lalu cuci hingga bersih n tiriskan
2) Campurkan tepung terigu tepung bumbu sajiku,garam n lada bubuk di dlm baskom
3) Campurkan 2 butir telor dgn air es n kocok hingga berbusa
4) Celupkan ayam kedlm kocokan telur trus celupkan ke dlm tepung n lakukan hingga 3 lapis
5) Goreng ayam dgn api sedang hingga wrn berubah menjadi kecoklatan
6) Angkat n sajikan dgn saos sambal
7) Selamat mencoba",6,https://cookpad.com/id/resep/4467021-ayam-kfc-ala-nr,4,47,ayam,ayam kfc ala nr,8,"tepung roti , tepung bumbu sajiku , telur , ayam , air es , garam , lada , ltr myk grg",7,4,47
107,Karii Ayam Simple 🐔,"1 bh dada ayam potong dadu--1 bh wortel potong dadu--2 bh kentang potong dadu--1/2 bh kol iris--Bumbu halus :--5 bh Bawang merah besar--2 siung Bawang putih--3 bh Kemiri--1 ruas Jahe--1 sdm ketumbar--sesuai selera Cabe rawit--5 bh Cabe merah--1 ruas Kunyit--400 ml Santan cair--Kaldu bubuk, Garam, gula dan lada sckpnya--","1) Cuci bersih semua bahan
2) Tumis bumbu halus hingga harum, masukkan air
3) Masukkan sayuran potong (urutannya kentang, wortel dan kol) tambahkan santan cair.. aduk terus jangan sampai santan pecah
4) Masukkan ayam, kaldu bubuk, gula, garam dan lada
5) Cek rasa dan kematangan.. siapppp deh",6,https://cookpad.com/id/resep/4466896-karii-ayam-simple-%F0%9F%90%94,7,46,ayam,karii ayam simple,15,"dada ayam potong dadu , wortel potong dadu , kentang potong dadu , kol , bumbu halus , bawang merah , bawang putih , kemiri , jahe , ketumbar , cabe rawit , cabe merah , kunyit , santan cair , kaldu bubuk , garam , gula lada",5,7,46
108,Ayam Kampung Tanpa Santan(krebek kuning),1 ekor ayam kampung--Bumbu halus:--8 siung bawang merah--6 siung bawang putih--4 butir kemiri--2 buah cabe merah besar(bisa tambahin lagi sesuai selera)--2-3 cm jahe dan kunyit--Bumbu Pelengkap:--2 batang sereh(geprek)--2 lembar daun salam--Cabe rawit secukupnya(biarkan utuh)--Lengkuas (geprek)--Garam dan gula--secukupnya Asam jawa--secukupnya Air kaldu--,"1) Potong dan rebus ayam hingga empuk
2) Haluskan semua bumbu halus (bisa diblender ato diulek)lalu tumis hingga harum, tambahkan bumbu pelengkap dan aduk rata
3) Masukkan ayam kampung yang sudah direbus, aduk rata
4) Tambahkan sedikit air kaldu, garam, gula aduk hingga merata
5) Biarkan mendidih agar bumbu lebih meresap (untuk kuahnya optional bisa pake versi banyak ato dikit tergantung selera aja)
6) Koreksi rasa dan sajian siap dihidangkan..",6,https://cookpad.com/id/resep/4466797-ayam-kampung-tanpa-santankrebek-kuning,13,45,ayam,ayam kampung santan ( krebek kuning ),15,"ayam kampung , bumbu halus , bawang merah , bawang putih , kemiri , cabe merah tambahin , jahe kunyit , bumbu pelengkap , serai geprek , daun salam , cabe rawit biarkan utuh , lengkuas , garam gula , asam jawa , air kaldu",6,13,45
109,Risol sayuran + daging ayam,"Kulit--230 gram terigu--20 gr sagu--1 telur kocok dulu--secukupnya Air--Isian--potong kecil Daging ayam--potong kecil Wortel--Kentang potong kecil, goreng dl--iris Daun bawang--5 siung Bamer--2-3 siung Baput--Royco--Lada--Garam--Gula--Tambahan :--Telur--Tepung panir--","1) Buat adonan kulit dengan mencampur semua bahan untuk kulitnya, jangan terlalu encer
2) Pakai pan anti lengket (20cm) untuk membuat kulit. Di pan oles dulu dengan mentega supaya tdk lengket dan tuang skitar 1 sendok sayur untuk 1 lembar kulit risol
3) Membuat isian :
4) Tumis bamer dan baput sampai wangi dan kecoklatan masukan daging ayam dan aduk sampai ayam berubah warna
5) Masukan kentang yang sudah di goreng dan juga wortel.. aduk sampai rata, beri 2 sdm tepung terigu untuk mengentalkan isian. Dalam resep ini kentang tdk sy goreng, tapi mertua sy biasa membuatnya dgn di goreng lbh dl jd aromany lbh wangi
6) Beri air secukupnya untuk memasak supaya wortel lembek.
7) Beri garam, royco, gula, lada dan cicipi rasanya apakah sudah pas. Sebelum air habis masukan daun bawang dan aduk rata sampai agak kering. Bila rasa sudah pas bisa di pindahkan ke piring
8) Ambil selembar kulit risol dan isi dengan isinya. Isinya di ratakan dulu spy mudah membungkusnya. Lem pinggir kulit risol dengan air sagu spy tdk terbuka kulitny saat di goreng. Lakukan smp kulit dan isian habis
9) Kocok telur dan beri sedikit air dan kecap asin angsa spy kulit ada sedikit rasa asin. Dan siapkan tepung panir di piring lain
10) Lumuri risol yang sudah di bungkus dengan telur dan baluri dengan tepung panir
11) Goreng risol yang sudah di balur panir ke minyak panas. Goreng sampai kecoklatan
12) Angkat dan siap disajikan",6,https://cookpad.com/id/resep/4467055-risol-sayuran-daging-ayam,4,41,ayam,risol sayuran + daging ayam,19,"kulit , terigu , sagu , telur kocok , air , isian , potong daging ayam , potong wortel , kentang potong , goreng dl , daun bawang , bamer , bawang putih , royco , lada , garam , gula , tambahan , telur , tepung panir",12,4,41
110,Soto ayam kediri,"1/4 ekor ayam (ayam kampung lebih enak)--1/4 kg ceker atau tulang--2 batang daun bawang--3 batang serai--4 lembar daun salam--3 lembar daun jeruk--1 ruas lengkuas--360 ml santan jika suka pakai santan atau kurang kental kuahnya--secukupnya Penyedap--secukupnya Garam--Pelengkap :--2 batang daun sledri (cincang halus)--Kol secukupnya iris halus--secukupnya Tauge/kecambah kacang hijau--2 buah kentang iris tipis-tipis (goreng kering)--4 buah tahu (goreng,iris tipis)--2 buah tomat potong sesuai selera--Bawang goreng untuk taburan--sesuai selera Kecap manis--Bumbu halus :--12 butir bawang merah--8 butir bawang putih--1 jari kunyit--1 ruas jari jahe--1 ruas kencur--1/4 sdt merica--1/2 sdt ketumbar--3 buah kemiri--","1) Panaskan air hingga mendidik,masukkan ayam dan ceker/tulang tunggu hingga matang.
2) Tumis bumbu halus hingga harum,diamkan sebentar.untuk bumbu halus bisa diblender (langsung bisa masuk kekuah) atau diparut (setelah ditumis diberi air kemudian diperas kekuah pakai saringan diambil sarinya saja bagi yg tidak begitu suka rempah)
3) Angakat ayam yg direbus td kemudian goreng setengah matang suwir-suwir.
4) Masukkan bumbu halus kekaldu (kuah),daun salam,serai (geprek),daun jeruk,daun bawang (bisa utuh/dipotong-potong),lengkuas,penyedap,garam.
5) Tunggu hingga mendidih kemudian koreksi rasa.kalau pakai santan usahakan masukkan santan paling terakhir dan tidak perlu lama-lama supaya santan tidak pecah.matikan api,siap untuk dihidangkan bersama pelengkapnya
6) Cara membuat sambelnya : cukup rebus cabe merah dan cabe kriting sesuai selera sampai mendidih kemudian haluskan.
7) NB.untuk penglengkap bisa divariasikan sendiri sesuai selera.bisa ditambah telor,soun,bihun,kentang rebus dll.",4,https://cookpad.com/id/resep/4466857-soto-ayam-kediri,4,51,ayam,soto ayam kediri,28,"ayam ayam kampung enak , ceker tulang , batang daun bawang , serai , daun salam , daun jeruk , lengkuas , santan suka santan kental kuahnya , penyedap , garam , pelengkap , batang daun sledri cincang halus , kol halus , tauge kecambah kacang hijau , kentang tipis tipis goreng kering , tahu goreng , tipis , tomat potong , bawang goreng taburan , kecap manis , bumbu halus , bawang merah , bawang putih , kunyit , jahe , kencur , merica , ketumbar , kemiri",7,4,51
